knjiga;;;;
id;naslov;opis;id_avtorja;id_zalozbe
52;Peskovnik boga otroka ;Roman, kjer skozi zgodbo naletimo na  neprièakovane zasuke, s humoristiènimi vložki.;20;8
53;Zbirka Anica ;Zbirka pravljic o Anicinem življenju.;20;1
54;Lažniva Suzi ;Roman, ki govori o deklici Suzani, ki zaradi laži zabrede v težave.;20;1
55;Blazno resno o šoli;Roman , ki govori o razliènih problemih, ki najstnike èakajo v šoli. ;20;1
56;Panika ;Roman, kjer je glavna junakinja medicinska sestra Vera, ki razmišlja o življenju. ;20;1
57;220 Stopinj poševno ;Zbirka kuhinjskih receptov ;21;5
58;Angel Pozabe ;Roman, o grozljivih poskusih iztrebljenja koroških Slovencev v èasu nacizma med drugo svetovno vojno.;22;9
59;Resnica ima tvoje oèi ;Roman , ki govri o èudni resnici, katere se je glavni juak noèe zavedati.;23;9
60;Pesmi in romance ;Pesniška zbirka, razlèna tematika.;24;16
61;Izbrane pesmi ;Pesniška zbirka, nekaterih njegovih pesmi zbral - Dušan Pirjavec. ;24;4
62;Misel moja, pusti me;Poezija, o mislih.;25;16
63;Basni in pravljice ;Zbirka pouènih živalskih in drugih zgodb.;25;4
64;Leninov park ;Kriminalni roman o dveh umorih v Ljubljani kjer se pojavi vprašanje ali sta povezana.;26;17
65;Pogodba;Kriminalni roman, zgodba o umorih, ki se dogajajo v Rimu, katere raziskujejo.;27;1
66;Belo se pere na devetdeset;Roman, je pretresljiv, duhovit in navdihujoè roman, ki opisuje življenjsko zgodbo pripovedovalke, odrašèajoèe v sedemdesetih in osemdesetih letih.;28;18
67;Jaz, ti, vsi od mene do tebe;Nanizanka, o predšolski otroci, ki se spoznavanjo loèevanje sebe od drugih, oblaèila, bližnje okolje, vode, gozdne živali in drevesa.;29;19
68;Gugalnica za rime ;Pemi, iz vsakdanjih reèi, napisane  igrivo in iskrivo.;29;20
69;Prosim - hvala ;Nanizanka za malèke, govori o osnovah bontona.;29;19
70;Mavrica bližine;Mavrièna pesniška zbirka za otroke, ki širi ljubezen do življenja, živih bitij in planeta.;29;19
71;Lisica išèe vest;Pravljica, kjer otrok skozi pravljico posluša nasvete živali, kaj je pravzaprav vest.;29;12
72;Bratovšèina Sinjega galeba ;Zgodba o pogumu, drznosti, tovarištvu in soèutju.;30;1
73;Ena sama beseda;Zbirka vseh Paèkovih pesmi za odrasle.;31;10
74;Angeli ;Pesniška zbirka o angelih, ki so, tako kot ljudje, sila razlièni, a skoraj vedno pripravljeni, da storijo kaj dobrega.;31;1
75;Same pesmi o ljubezni ;Zbirka pesmi o ljubezni vseh vrst, pesmi o navezanosti.;31;10
76;Romeo in Julija ;Medvedja ljubezenska zgodba.;31;21
77;Majhnice in majnice ;Zbirka pesmi tako za starejše kot mlajše. ;31;21
78;Jurij Muri v Afriki ;Glavni junak Jurij Muri se odpravi v Afriko. ;31;21
79;Jurij Muri po Sloveniji ;Glavni junak Jurij Muri se odpravi po sloveniji.;31;21
80;Jurij Muri gre po sreèo ;Glavni junak Jurij Muri se odpravi po sreèo. ;31;21
81;Pogrešani napotki;Knjiga o starših ki dobijo otroka, nauèili so jih, kako ga umivajo, nahranijo, obleèejo. A kako naj ga vzgajajo?;32;22
82;Kazen ;Knjiga, kjer starši najdejo odgovore na to, kdaj, kako in koliko strogo kaznovati – èe sploh.;32;22
83;Punce, glavo gor!;Knjiga govori o dobrih uèiteljicah in o njihovem delu, o položaju danes in pri nas.;32;22
84;Pot;Knjiga, z avtobiografskimi razmišljanji prezgodaj preminulega slovenskega alpinista.;33;1
85;Pot - najlepše misli ;Knjiga, o najlepših stvareh v alpinizmu.;33;1
86;Drejèek in trije marsovèki;Zgodba o malem deèku, ki se mu pripeti življenjska dogodivšèina;34;11
87;Ustvarjen, torej sem ;Knjiga o ustvarjalnosti, sposobnost reševanja problemov na nov, izviren naèin. ;34;4
88;Kataklizma ;Zgodba, v kateri na vse možne naèine opominja, naj že konèno enkrat zaènemo paziti na naš planet. ;34;11
89;Èlovek in ekološka kriza;Knjiga prikazuje škodljivo poseganje posameznikov, gospodarskih panog in organizacij v naravno okolje.;34;4
90;Joga za ženske ;Joga za ženske po metodi iyengar je prilagojena spreminjajoèim se potrebam žensk.;35;1
91;Pravljièna joga ;Joga za otroke pozitivno deluje na otroško motoriko, koordinacijo in druge stvari.;35;1
92;Joga za najmlajše;Joga za dojenèke, saj vpliva na njegov motorièni,kognitivni, socialni in èustveni razvoj.;36;1
93;Joga mami in dojenèek ; Priroènik za mamice z dojenèki je sestavljen iz izèrpnih informacij o jogi in okrevanju po porodu.;36;1
